sid,sname,avg_score
868230661,uraqamw,99.0000000000000000
896383091,dmyjf,99.0000000000000000
854325322,fmfikiz,99.0000000000000000
846195907,gwuoxvq,99.0000000000000000
810343284,dvaxyvts,99.0000000000000000
845987185,ygnpuvff,99.0000000000000000
837346172,cvgqrm,99.0000000000000000
865699638,dywyues,99.0000000000000000
838705097,gpjbxp,99.0000000000000000
847771882,hznmy,99.0000000000000000
840832221,yxfxx,99.0000000000000000
804133461,dukbnwld,99.0000000000000000
826576164,mqobi,99.0000000000000000
857249655,jelan,99.0000000000000000
854481368,twzwrcy,99.0000000000000000
889456154,evaskcgqz,99.0000000000000000
878837090,culziqhv,99.0000000000000000
846545115,nszfmn,99.0000000000000000
826765496,okdvuc,99.0000000000000000
866658605,mmzqvd,99.0000000000000000
884398989,ieztmty,99.0000000000000000
831184805,nootnye,99.0000000000000000
815043225,gahocomwy,99.0000000000000000
802790317,qpfausvgi,99.0000000000000000
842533127,vxamdnwki,99.0000000000000000
827647205,ceskl,99.0000000000000000
858968121,fklizgyrw,99.0000000000000000
867348317,otmgonpwr,99.0000000000000000
839809896,ueeloohew,99.0000000000000000
864592111,qwxioqy,99.0000000000000000
819479382,qaouecpdz,99.0000000000000000
863388802,szznckz,99.0000000000000000
896168867,ukiysvexw,99.0000000000000000
837862621,epntszcm,99.0000000000000000
884231357,abkxi,99.0000000000000000
805215963,jhtkusay,99.0000000000000000
865965215,wvppbjm,99.0000000000000000
834176304,shdtur,99.0000000000000000
867800194,hnhjzajkg,99.0000000000000000
887285361,dimccovs,99.0000000000000000
803973094,xrtike,99.0000000000000000
881290329,dvqynsh,99.0000000000000000
805955719,nmkghyy,99.0000000000000000
832384804,uyprv,99.0000000000000000
844319216,xbpnv,99.0000000000000000
863141491,mdniix,99.0000000000000000
851378570,sletyd,99.0000000000000000
882238048,jhiny,99.0000000000000000
817382969,xvwood,99.0000000000000000
886325435,htphijqiy,99.0000000000000000
830278466,ruaeuczr,99.0000000000000000
818174014,smylem,99.0000000000000000
812665840,bcuik,99.0000000000000000
839454687,unaiiokq,99.0000000000000000
848540080,cyfuwrzn,99.0000000000000000
840492311,kynyws,99.0000000000000000
830436901,zckzgusws,99.0000000000000000
825836319,povpkx,99.0000000000000000
858995650,enaymipfk,99.0000000000000000
830669558,raowaya,99.0000000000000000
879851913,aknhpnim,99.0000000000000000
824125444,okyajuj,99.0000000000000000
841072660,zajuwil,99.0000000000000000
877691472,irklxs,99.0000000000000000
890497250,bpqlbp,99.0000000000000000
861749897,ljmhjmlq,99.0000000000000000
818719239,nrkuhbq,99.0000000000000000
846874748,diuvxud,99.0000000000000000
879271432,rdojotq,99.0000000000000000
878160251,yuwpnivw,99.0000000000000000
807933117,sebtlmcb,99.0000000000000000
891033766,kdlsnetfx,99.0000000000000000
822188980,htepg,99.0000000000000000
881958456,swurya,99.0000000000000000
894270989,rqyjt,99.0000000000000000
825674515,watmuhbj,99.0000000000000000
845155652,ktpvbyw,99.0000000000000000
804345354,sztnyl,99.0000000000000000
874630428,wzljhxtll,99.0000000000000000
819882726,dpaitrk,99.0000000000000000
855759092,mhckith,99.0000000000000000
852207772,eblbk,99.0000000000000000
894104769,fiyzq,99.0000000000000000
815723090,qumqpmur,99.0000000000000000
816494569,yyrbs,99.0000000000000000
854629291,szfglka,99.0000000000000000
846115041,swrmmlj,99.0000000000000000
881788233,piijfzri,99.0000000000000000
899487519,gsxiwa,99.0000000000000000
801363667,yobhgke,99.0000000000000000
817227036,lxrwvv,99.0000000000000000
845452361,lcaqb,99.0000000000000000
883130765,kmacmbpf,99.0000000000000000
847728047,otfkvyq,99.0000000000000000
875158211,clsfjp,99.0000000000000000
809679996,gugcmusdd,99.0000000000000000
801045518,cgynirx,99.0000000000000000
847495563,gijtysgh,99.0000000000000000
800466090,kzgdyzbih,99.0000000000000000
831807993,upclhnyp,99.0000000000000000
859524505,ayufmla,99.0000000000000000
838130232,uowsvzyy,99.0000000000000000
828241563,gwmoidegk,99.0000000000000000
833916046,evxypfxk,99.0000000000000000
870518031,vzany,99.0000000000000000
818137733,ykwhz,99.0000000000000000
827064952,vshctvd,99.0000000000000000
829727632,vwfzgra,99.0000000000000000
